country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,19,6.04E+17,
,,12624549,,0,2,1.53E+19,
,,12624549,,0,13,8.78E+18,
,,12624549,,0,20,1.20E+19,
,,12624548,,0,5,7.84E+18,
,,12624548,,0,7,5.65E+18,
,,12624549,,0,17,1.61E+18,
,,12624549,,0,5,7.40E+17,
,,12624548,,0,13,1.60E+19,
,,12624548,,0,9,1.56E+19,
KR,4/2/17,12624548,1.41E+19,1.967007,5,3.11E+17,GAMES
,,12624549,,0,3,4.54E+18,
,,12624548,,0,14,3.98E+18,
,,12624548,,0,2,1.58E+18,
,,12624549,,0,18,8.62E+18,
,,12624548,,0,3,1.20E+19,
,,12624548,,0,14,8.74E+16,
,,12624549,,0,12,1.09E+19,
,,12624548,,0,19,4.44E+18,
,,12624548,,0,2,6.96E+18,
,,12624549,,0,7,7.48E+18,
BR,4/2/17,12624549,9.57E+18,0.946464,18,9.99E+17,GAMES
,,12624549,,0,6,1.27E+19,
,,12624549,,0,5,1.53E+19,
,,12624549,,0,7,1.46E+19,
FR,4/1/17,12624548,8.20E+18,1.056582,9,1.19E+19,GAMES
FR,4/1/17,12624548,1.49E+19,1.056582,9,1.19E+19,GAMES
FR,4/1/17,12624548,6.90E+18,14.930897,9,1.19E+19,GAMES
,,12624549,,0,1,6.01E+18,
,,12624548,,0,17,3.44E+18,
,,12624548,,0,11,1.05E+18,
,,12624549,,0,3,8.41E+17,
,,12624549,,0,16,2.08E+18,
,,12624548,,0,1,1.32E+19,
,,12624549,,0,7,1.36E+19,
,,12624548,,0,3,6.70E+18,
US,4/6/17,12624548,2.03E+18,9.99,11,8.15E+18,GAMES
,,12624549,,0,8,8.14E+18,
,,12624548,,0,1,1.31E+18,
,,12624548,,0,19,5.81E+18,
,,12624549,,0,14,3.57E+18,
,,12624549,,0,18,7.88E+18,
,,12624549,,0,15,8.35E+18,
,,12624548,,0,16,1.77E+18,
,,12624548,,0,1,9.12E+18,
,,12624548,,0,8,8.88E+17,
,,12624549,,0,13,1.63E+19,
,,12624549,,0,7,8.71E+18,
ES,4/6/17,12624549,1.62E+19,2.119813,19,2.69E+18,GAMES
,,12624549,,0,3,1.59E+19,
,,12624548,,0,7,1.19E+18,
,,12624548,,0,8,1.13E+19,
,,12624549,,0,14,2.13E+18,
,,12624548,,0,11,9.42E+18,
TR,4/4/17,12624548,1.33E+19,0.815536,14,1.48E+19,GAMES
TR,4/4/17,12624548,9.43E+18,0.815536,14,1.48E+19,GAMES
TR,4/7/17,12624548,1.22E+19,0.801406,14,1.48E+19,GAMES
,,12624549,,0,9,3.35E+18,
,,12624549,,0,20,1.06E+19,
,,12624549,,0,7,6.67E+18,
,,12624549,,0,12,8.80E+18,
,,12624548,,0,1,3.63E+18,
,,12624548,,0,5,1.73E+19,
,,12624549,,0,8,1.45E+19,
,,12624549,,0,14,5.66E+18,
US,4/7/17,12624549,1.70E+19,9.99,7,1.63E+19,GAMES
US,4/4/17,12624549,9.34E+17,0.99,7,1.63E+19,GAMES
DE,4/7/17,12624548,9.80E+18,1.050354,3,1.50E+19,GAMES
,,12624549,,0,10,9.12E+18,
,,12624549,,0,20,1.11E+19,
AU,4/1/17,12624549,1.35E+19,16.412146,19,5.31E+18,GAMES
GB,4/6/17,12624548,1.66E+19,4.976074,2,9.85E+18,GAMES
,,12624549,,0,5,4.78E+18,
,,12624548,,0,9,3.04E+18,
